Area Name,Population,Business Name,Number of Businesses,Need,Success Rate (%)
Basaralu,1923,Gym,30,41.08,26.33%
Basaralu,1923,Pharmacy,4,60.44,290.57%
Basaralu,1923,Coffee Shop,9,57.28,122.39%
Basaralu,1923,Electronics Shop,8,68.84,165.47%
Belakavadi,3241,Gym,22,74.93,110.39%
Belakavadi,3241,Electronics Shop,18,56.71,102.11%
Dudda,1085,Coffee Shop,3,59.05,213.56%
Dudda,1085,Restaurant,30,48.93,17.7%
Guttalu,8180,Gym,15,53.53,291.92%
Guttalu,8180,Electronics Shop,15,69.62,379.66%
Guttalu,8180,Restaurant,9,51.46,467.71%
Guttalu,8180,Coffee Shop,11,62.36,463.73%
Halagur,6556,Electronics Shop,13,66.62,335.97%
Halagur,6556,Gym,3,78.53,1716.14%
Halagur,6556,Coffee Shop,24,40.46,110.52%
Hosahalli,2123,Pharmacy,5,64.14,272.34%
Hosahalli,2123,Restaurant,30,66.61,47.14%
Hulivana,5996,Pharmacy,22,71.97,196.15%
Hulivana,5996,Electronics Shop,25,43.87,105.22%
Hulivana,5996,Gym,2,67.61,2026.95%
Keregodu,1843,Pharmacy,11,67.4,112.93%
Keregodu,1843,Grocery Store,9,66.27,135.71%
Keregodu,1843,Coffee Shop,8,47.24,108.83%
Keregodu,1843,Electronics Shop,15,70.28,86.35%
Keregodu,1843,Gym,30,61.61,37.85%
Kikkeri,7180,Restaurant,13,46.47,256.66%
Kikkeri,7180,Electronics Shop,22,63.15,206.1%
Kikkeri,7180,Pharmacy,30,74.08,177.3%
Kikkeri,7180,Gym,20,65.34,234.57%
Kirugavalu,6731,Pharmacy,11,58.64,358.82%
Kirugavalu,6731,Electronics Shop,11,44.95,275.05%
Konnanur,7077,Gym,4,65.8,1164.17%
Konnanur,7077,Coffee Shop,26,79.78,217.16%
Konnanur,7077,Restaurant,22,59.03,189.89%
Konnanur,7077,Grocery Store,5,70.6,999.27%
Konnanur,7077,Pharmacy,11,45.94,295.56%
Konnanur,7077,Electronics Shop,4,79.1,1399.48%
Kyathaghatta,2499,Grocery Store,27,50.55,46.79%
Kyathaghatta,2499,Electronics Shop,23,78.35,85.13%
Kyathaghatta,2499,Pharmacy,2,54.47,680.6%
Kyathaghatta,2499,Restaurant,30,72.67,60.53%
Kyathaghatta,2499,Coffee Shop,19,43.24,56.87%
Maddur,8680,Pharmacy,29,50.93,152.44%
Maddur,8680,Electronics Shop,13,78.43,523.67%
Maddur,8680,Gym,15,48.79,282.33%
Malavalli,4536,Grocery Store,11,40.23,165.89%
Malavalli,4536,Coffee Shop,18,77.7,195.8%
Malavalli,4536,Restaurant,27,56.48,94.89%
Malavalli,4536,Electronics Shop,12,41.88,158.31%
Mandagere,2379,Electronics Shop,5,79.46,378.07%
Mandagere,2379,Coffee Shop,20,63.97,76.09%
Mandagere,2379,Restaurant,2,54.65,650.06%
Mandagere,2379,Pharmacy,9,51.49,136.11%
Mandagere,2379,Grocery Store,7,68.34,232.26%
Mandagere,2379,Gym,16,67.33,100.11%
Melkote,1435,Electronics Shop,14,50.54,51.8%
Melkote,1435,Coffee Shop,14,60.27,61.78%
Melkote,1435,Grocery Store,16,72.38,64.92%
Nagamangala,5590,Gym,15,45.29,168.78%
Nagamangala,5590,Electronics Shop,12,77.9,362.88%
Nagamangala,5590,Restaurant,24,54.9,127.87%
Pandavapura,8798,Gym,14,78.3,492.06%
Shivalli,1933,Pharmacy,22,53.38,46.9%
Shivalli,1933,Restaurant,3,52.06,335.44%
Shivalli,1933,Grocery Store,7,78.14,215.78%
Srirangapatna,4648,Pharmacy,8,54.69,317.75%
Srirangapatna,4648,Gym,12,61.56,238.44%
Srirangapatna,4648,Grocery Store,22,49.64,104.88%
Srirangapatna,4648,Restaurant,30,59.2,91.72%
Srirangapatna,4648,Coffee Shop,24,48.17,93.29%
Srirangapatna,4648,Electronics Shop,7,79.98,531.07%
