Area Name,Population,Business Name,Number of Businesses,Need,Success Rate (%)
Basaralu,1923,Gym,30,41.08,26.33%
Belakavadi,3241,Gym,22,74.93,110.39%
Keregodu,1843,Grocery Store,9,66.27,135.71%
Kirugavalu,6731,Pharmacy,11,58.64,358.82%
Hosahalli,2123,Restaurant,30,66.61,47.14%
Keregodu,1843,Coffee Shop,8,47.24,108.83%
Melkote,1435,Grocery Store,16,72.38,64.92%
Malavalli,4536,Coffee Shop,18,77.7,195.8%
Guttalu,8180,Coffee Shop,11,62.36,463.73%
Konnanur,7077,Coffee Shop,26,79.78,217.16%
Nagamangala,5590,Restaurant,24,54.9,127.87%
Malavalli,4536,Coffee Shop,30,47.85,72.35%
Keregodu,1843,Gym,30,61.61,37.85%
Srirangapatna,4648,Pharmacy,8,54.69,317.75%
Kirugavalu,6731,Electronics Shop,11,44.95,275.05%
Hulivana,5996,Gym,2,67.61,2026.95%
Hosahalli,2123,Pharmacy,5,64.14,272.34%
Shivalli,1933,Grocery Store,7,78.14,215.78%
Kikkeri,7180,Gym,20,65.34,234.57%
Srirangapatna,4648,Gym,12,61.56,238.44%
Kikkeri,7180,Electronics Shop,22,63.15,206.1%
Hosahalli,2123,Restaurant,23,41.88,38.66%
Melkote,1435,Electronics Shop,14,50.54,51.8%
Konnanur,7077,Grocery Store,5,70.6,999.27%
Belakavadi,3241,Electronics Shop,18,56.71,102.11%
Kikkeri,7180,Gym,30,73.12,175.0%
Mandagere,2379,Pharmacy,9,51.49,136.11%
Kyathaghatta,2499,Grocery Store,27,50.55,46.79%
Shivalli,1933,Grocery Store,14,71.23,98.35%
Srirangapatna,4648,Electronics Shop,7,79.98,531.07%
Halagur,6556,Coffee Shop,24,40.46,110.52%
Guttalu,8180,Electronics Shop,15,69.62,379.66%
Keregodu,1843,Gym,15,40.91,50.26%
Maddur,8680,Pharmacy,29,50.93,152.44%
Srirangapatna,4648,Electronics Shop,20,52.31,121.57%
Kikkeri,7180,Restaurant,13,46.47,256.66%
Malavalli,4536,Restaurant,27,56.48,94.89%
Basaralu,1923,Electronics Shop,8,68.84,165.47%
Malavalli,4536,Grocery Store,11,40.23,165.89%
Basaralu,1923,Electronics Shop,24,72.23,57.87%
Keregodu,1843,Electronics Shop,15,70.28,86.35%
Konnanur,7077,Pharmacy,11,45.94,295.56%
Guttalu,8180,Restaurant,9,51.46,467.71%
Guttalu,8180,Gym,15,53.53,291.92%
Keregodu,1843,Electronics Shop,30,76.06,46.73%
Konnanur,7077,Gym,4,65.8,1164.17%
Melkote,1435,Coffee Shop,14,60.27,61.78%
Halagur,6556,Gym,3,78.53,1716.14%
Mandagere,2379,Coffee Shop,20,63.97,76.09%
Maddur,8680,Gym,15,48.79,282.33%
Basaralu,1923,Electronics Shop,28,63.27,43.45%
Kikkeri,7180,Pharmacy,30,74.08,177.3%
Mandagere,2379,Restaurant,2,54.65,650.06%
Halagur,6556,Gym,29,53.64,121.26%
Malavalli,4536,Coffee Shop,23,78.36,154.54%
Dudda,1085,Restaurant,30,48.93,17.7%
Guttalu,8180,Electronics Shop,17,60.66,291.88%
Srirangapatna,4648,Restaurant,30,59.2,91.72%
Mandagere,2379,Grocery Store,7,68.34,232.26%
Nagamangala,5590,Gym,15,45.29,168.78%
Kyathaghatta,2499,Restaurant,30,72.67,60.53%
Kyathaghatta,2499,Pharmacy,2,54.47,680.6%
Kyathaghatta,2499,Electronics Shop,23,78.35,85.13%
Dudda,1085,Coffee Shop,3,59.05,213.56%
Basaralu,1923,Electronics Shop,27,46.11,32.84%
Pandavapura,8798,Gym,14,78.3,492.06%
Shivalli,1933,Pharmacy,22,53.38,46.9%
Konnanur,7077,Grocery Store,25,56.24,159.2%
Basaralu,1923,Coffee Shop,9,57.28,122.39%
Mandagere,2379,Electronics Shop,5,79.46,378.07%
Kikkeri,7180,Restaurant,11,78.01,509.19%
Mandagere,2379,Pharmacy,27,58.88,51.88%
Basaralu,1923,Coffee Shop,19,65.4,66.19%
Halagur,6556,Gym,30,41.72,91.17%
Halagur,6556,Electronics Shop,13,66.62,335.97%
Nagamangala,5590,Electronics Shop,12,77.9,362.88%
Basaralu,1923,Pharmacy,4,60.44,290.57%
Mandagere,2379,Gym,16,67.33,100.11%
Maddur,8680,Electronics Shop,13,78.43,523.67%
Guttalu,8180,Restaurant,27,42.99,130.24%
Keregodu,1843,Pharmacy,11,67.4,112.93%
Hulivana,5996,Electronics Shop,25,43.87,105.22%
Srirangapatna,4648,Restaurant,4,40.59,471.66%
Shivalli,1933,Grocery Store,29,75.88,50.58%
Konnanur,7077,Restaurant,22,59.03,189.89%
Hosahalli,2123,Pharmacy,21,49.81,50.36%
Mandagere,2379,Coffee Shop,18,49.13,64.93%
Srirangapatna,4648,Grocery Store,22,49.64,104.88%
Malavalli,4536,Electronics Shop,12,41.88,158.31%
Kyathaghatta,2499,Grocery Store,14,40.06,71.51%
Konnanur,7077,Electronics Shop,4,79.1,1399.48%
Shivalli,1933,Restaurant,3,52.06,335.44%
Srirangapatna,4648,Pharmacy,15,70.64,218.89%
Basaralu,1923,Gym,30,75.5,48.4%
Malavalli,4536,Restaurant,4,62.4,707.62%
Kyathaghatta,2499,Coffee Shop,19,43.24,56.87%
Srirangapatna,4648,Coffee Shop,24,48.17,93.29%
Melkote,1435,Grocery Store,2,46.63,334.57%
Hulivana,5996,Pharmacy,22,71.97,196.15%
Hosahalli,2123,Pharmacy,12,40.62,71.86%
